Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
35.0,35.0,100,16.58,2.1042525485023864,0.8290000000000001,0.1052126274251193,0.171,0.10521262742511933,0.0,0.0,0.004499999999999999,0.01604129771319117,1.95,1.22577536788975,8.53,0.9687542766279011,1.43,0.956160250294073,0.04,0.19694638556693236,16.67,1.969745920137669,14.5,2.6949260217353395,3.33,1.9697459201376686,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
36.0,36.0,100,16.4,2.122510425192419,0.82,0.10612552125962096,0.18,0.10612552125962096,0.0,0.0,0.009000000000000003,0.021765508809521866,2.05,1.2421470496399738,8.45,0.9679197729505719,1.51,0.9691712590109807,0.04,0.19694638556693236,16.49,1.9923844909042927,14.43,2.6024658081958125,3.51,1.9923844909042931,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
37.0,37.0,100,16.27,2.192065581854593,0.8134999999999999,0.10960327909272964,0.1865,0.10960327909272966,0.0,0.0,0.006499999999999999,0.01833333333333333,2.1,1.2593087730412211,8.37,1.0313764461812056,1.54,1.0192094381371666,0.09,0.2876234912646613,16.27,2.117054366783997,14.27,2.6849938396934774,3.73,2.1170543667839965,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
38.0,38.0,100,16.13,2.2186309364838563,0.8065000000000001,0.11093154682419279,0.1935,0.11093154682419279,0.0,0.0,0.006999999999999996,0.01743675440098884,2.14,1.2634728474975776,8.27,1.033333333333333,1.59,1.0059921480907301,0.14,0.37658754867650873,16.1,2.1532216876958197,14.2,2.7228921047557897,3.9,2.1532216876958197,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
39.0,39.0,100,16.03,2.235864689351954,0.8015000000000001,0.11179323446759773,0.1985,0.11179323446759772,0.0,0.0,0.005000000000000001,0.01666666666666667,2.2,1.2870763988845637,8.23,1.0235114838514305,1.7,1.0298573010888743,0.07,0.2564323999762428,16.07,2.1141896745084106,14.11,2.6889034977481097,3.93,2.114189674508411,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
40.0,40.0,100,15.95,2.217355782608345,0.7975,0.11086778913041725,0.2025,0.11086778913041725,0.0,0.0,0.004000000000000001,0.01363299621721454,2.25,1.2742595393943001,8.2,1.0249414863810766,1.71,1.0376254944182253,0.09,0.2876234912646614,15.99,2.0816417374832596,14.03,2.6455795034530545,4.01,2.0816417374832596,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
41.0,41.0,100,15.84,2.246074015888275,0.792,0.11230370079441378,0.20800000000000002,0.11230370079441376,0.0,0.0,0.0055000000000000005,0.015723301886761003,2.31,1.2688577540449522,8.15,1.0671873729054744,1.8,1.1009637651263606,0.05,0.21904291355759034,15.93,2.075616009328753,13.99,2.618870911000549,4.07,2.075616009328753,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
42.0,42.0,100,15.69,2.2459615834522717,0.7845,0.1122980791726136,0.2155,0.1122980791726136,0.0,0.0,0.007500000000000003,0.020566472667421568,2.4,1.2472191289246475,8.09,1.101835016706405,1.8,1.0444659357341872,0.11,0.3450955072018601,15.75,2.143229885811212,13.91,2.5784460123073814,4.25,2.1432298858112127,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
43.0,43.0,100,15.49,2.2629872096658237,0.7745000000000001,0.11314936048329119,0.2255,0.11314936048329119,0.0,0.0,0.009999999999999998,0.02132007163556104,2.49,1.2349702486908403,7.98,1.1189822215393828,1.97,1.123261844681449,0.05,0.2190429135575903,15.61,2.093255161636338,13.78,2.536919312071157,4.39,2.093255161636338,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
44.0,44.0,100,15.36,2.2675577571074528,0.768,0.11337788785537264,0.23199999999999998,0.11337788785537264,0.0,0.0,0.006500000000000001,0.019662557351884866,2.57,1.2968882727202031,7.93,1.075484386993445,1.97,1.0488570017409475,0.1,0.3333333333333333,15.43,2.152072057672359,13.68,2.5618806223616906,4.57,2.1520720576723593,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
